age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,target
34.0,Private,208944.0,Masters,14.0,Separated,Exec-manager,Not-in-family,White,Male,0.0,0.0,50.0,United-States,1.0
57.0,Private,183733.0,HS-grad,9.0,Married-civ,Other-service,Husband,White,Male,0.0,0.0,40.0,United-States,1.0
47.0,Private,102853.0,Bachelors,13.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,40.0,United-States,1.0
44.0,Private,145892.0,HS-grad,9.0,Married-civ,Craft-repair,Husband,White,Male,0.0,0.0,40.0,United-States,1.0
44.0,Private,1078.0,Bachelors,13.0,Married-civ-spouse,Sales,Husband,White,Male,0.0,0.0,40.0,United-States,1.0
29.0,Private,186376.0,Masters,14.0,Divorced,Exec-managerial,Not-in-family,White,Female,0.0,0.0,40.0,United-States,1.0
34.0,Private,206906.0,Bachelors,13.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,40.0,United-States,1.0
43.0,Private,84400.0,Bachelors,13.0,Married-civ-sp,Sales,Husband,White,Male,0.0,0.0,40.0,United-States,1.0
33.0,Private,2464.0,HS-grad,9.0,Married-civ-spouse,Sales,Husband,White,Male,0.0,0.0,40.0,United-States,1.0
43.0,Private,25.0,HS-grad,9.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,50.0,United-States,1.0
45.0,Private,102631.0,Bachelors,13.0,Never-married,Prof-specialty,Not-in-family,White,Male,0.0,0.0,40.0,United-States,1.0
36.0,Private,81856.0,HS-,9.0,Married-civ-spouse,Sales,Wife,White,Female,5178.0,0.0,40.0,United-States,1.0
52.0,Private,206955.0,Bachel,13.0,Married-civ-spouse,Sales,Husband,White,Male,0.0,0.0,40.0,United-States,1.0
48.0,State-gov,217460.0,Some-college,10.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,40.0,United-States,1.0
44.0,Self-emp-not-inc,101214.0,Masters,14.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,40.0,United-States,1.0
32.0,Self-emp-not-inc,134778.0,Some-college,10.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,40.0,United-States,1.0
43.0,Private,214848.0,Some-college,10.0,Married-,Exec-managerial,Husband,White,Male,0.0,0.0,40.0,United-States,1.0
39.0,Private,304593.0,Bachelors,13.0,Married-c,Prof-specialty,Husband,White,Male,0.0,0.0,40.0,United-States,1.0
42.0,Private,206567.0,Masters,14.0,Married-civ-spouse,Exec-manager,Wife,White,Female,0.0,0.0,35.0,United-States,1.0
43.0,Private,104590.0,Bachelors,13.0,Married-c,Prof-specialty,Husband,White,Male,0.0,0.0,40.0,United-States,1.0
37.0,Private,163940.0,Some-college,10.0,Married-civ-spouse,Sales,Husband,White,Male,0.0,0.0,40.0,United-,1.0
61.0,Private,296532.0,HS-,9.0,Married-civ-spouse,Sales,Husband,White,Male,0.0,0.0,45.0,United-States,1.0
51.0,Private,216021.0,Masters,14.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,45.0,United,1.0
53.0,Private,217418.0,HS-grad,9.0,Never-married,Adm-clerical,Not-in-family,White,Male,0.0,0.0,84.0,United-States,1.0
45.0,Private,141511.0,HS-grad,9.0,Married-civ,Craft-repair,Husband,White,Male,0.0,0.0,50.0,United-States,1.0
50.0,Private,115066.0,Bachelors,13.0,Married-c,Prof-specialty,Husband,White,Male,0.0,0.0,50.0,United-States,1.0
36.0,Private,161242.0,Bachelors,13.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,50.0,United-States,1.0
46.0,Private,162812.0,HS-,9.0,Married-civ-spouse,Sales,Wife,White,Female,0.0,0.0,45.0,United-States,1.0
30.0,Private,146795.0,Bachelors,13.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,45.0,United-States,1.0
34.0,Private,165896.0,Prof-school,15.0,Married-c,Exec-managerial,Husband,White,Male,0.0,0.0,40.0,United-States,1.0
40.0,Private,171516.0,HS-grad,9.0,Married,Transport-moving,Husband,Asian-Pac-Islander,Male,0.0,0.0,35.0,Philippines,1.0
43.0,Private,109837.0,Masters,14.0,Married-civ-spouse,Exec-,Husband,White,Male,0.0,0.0,40.0,United-States,1.0
50.0,Private,238941.0,Masters,14.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,50.0,United-States,1.0
47.0,Private,161542.0,Some-college,10.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,40.0,United-States,1.0
36.0,Private,161066.0,Bachelors,13.0,Never-married,Prof-specialty,Not-in-family,White,Female,0.0,0.0,50.0,United-States,1.0
44.0,Private,172600.0,HS-grad,9.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,40.0,United-States,1.0
53.0,Private,166897.0,Bachelors,13.0,Married-c,Exec-managerial,Husband,White,Male,0.0,0.0,60.0,United-States,1.0
42.0,Private,204465.0,Masters,14.0,Married-civ-spouse,Sales,Husband,White,Male,0.0,0.0,40.0,United-States,1.0
59.0,Private,53740.0,Some-college,10.0,Married-civ,Craft-repair,Husband,White,Male,0.0,0.0,40.0,United-States,1.0
36.0,Private,136863.0,HS-grad,9.0,Married-,Exec-managerial,Husband,White,Male,0.0,0.0,80.0,United-States,1.0
47.0,Self-emp-inc,103462.0,HS-grad,9.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,44.0,United-States,1.0
34.0,Private,209537.0,Bachelors,13.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,45.0,United-States,1.0
36.0,State-gov,183822.0,Bachelors,13.0,Married-civ-spouse,Exec-managerial,Wife,White,Female,0.0,0.0,40.0,United-States,1.0
61.0,Self-emp-inc,167069.0,HS-grad,9.0,Married-civ-spouse,Sales,Husband,White,Male,0.0,0.0,40.0,United-States,1.0
43.0,Private,242075.0,Bachelors,13.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,40.0,United-States,1.0
41.0,Private,287935.0,Bachelors,13.0,Married-civ-spouse,Sales,Hus,White,Male,0.0,0.0,45.0,United-States,1.0
43.0,Private,99146.0,Bachelors,13.0,Married-civ,Craft-repair,Husband,White,Male,7688.0,0.0,50.0,United-States,1.0
46.0,Private,184468.0,Masters,14.0,Married-civ,Exec-managerial,Husband,White,Male,0.0,0.0,60.0,United-States,1.0
51.0,Private,293085.0,Bachelors,13.0,Married-c,Prof-specialty,Husband,White,Male,0.0,0.0,40.0,United-States,1.0
34.0,Private,163871.0,Masters,14.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,40.0,United-States,1.0
47.0,Private,144547.0,HS-grad,9.0,Married-civ,Other-service,Husband,White,Male,0.0,0.0,40.0,United-States,1.0
37.0,Private,153092.0,HS-grad,9.0,Married-civ,Prof-specialty,Wife,White,Female,0.0,0.0,60.0,United-States,1.0
43.0,Private,363944.0,Some-college,10.0,Married-civ-spouse,Transport-moving,Husband,White,Male,0.0,0.0,50.0,United-States,1.0
40.0,Private,224529.0,Bachelors,13.0,Married-civ-spouse,Sales,Hus,White,Male,0.0,0.0,40.0,United-States,1.0
46.0,Private,204461.0,Bachelors,13.0,Married-civ-spouse,Sales,Husband,White,Male,7688.0,0.0,40.0,United-States,1.0
36.0,Private,221571.0,Some-college,10.0,Married-,Adm-clerical,Husband,White,Male,0.0,0.0,40.0,United-States,1.0
42.0,Private,162576.0,Bachelors,13.0,Married-,Adm-clerical,Husband,White,Male,0.0,0.0,50.0,United-States,1.0
48.0,Private,162686.0,Doctorate,16.0,Never-married,Exec-managerial,Not-,White,Male,25236.0,0.0,40.0,United-States,1.0
71.0,Private,123069.0,HS-grad,9.0,Divorced,Exec,Not-in-family,White,Male,0.0,0.0,40.0,United-States,1.0
57.0,Private,216064.0,Some-college,10.0,Married-civ-spouse,Sales,Husband,White,Male,0.0,0.0,40.0,United-States,1.0
46.0,Private,124473.0,Assoc,11.0,Married-civ-spouse,Sales,Husband,White,Male,0.0,0.0,60.0,United-States,1.0
37.0,Private,154938.0,Bachelors,13.0,Never-married,Sales,Own-child,White,Male,0.0,0.0,40.0,United-States,1.0
46.0,Private,83853.0,Bachelors,13.0,Married-c,Prof-specialty,Husband,White,Male,0.0,0.0,40.0,United-States,1.0
28.0,Private,164769.0,Bachelors,13.0,Never-married,Exec-managerial,Not-,White,Male,0.0,0.0,40.0,United-States,1.0
50.0,Private,170784.0,Masters,14.0,Married-civ-spouse,Sales,Husband,White,Male,0.0,0.0,40.0,United-States,1.0
54.0,Private,174963.0,HS-grad,9.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,40.0,United-States,1.0
43.0,Private,121848.0,HS-grad,9.0,Married-,Exec-managerial,Husband,White,Male,99999.0,0.0,60.0,United-States,1.0
30.0,Private,171253.0,Bachelors,13.0,Married-civ-spouse,Sales,Husband,White,Male,0.0,0.0,40.0,United-States,1.0
43.0,Private,256066.0,Bachelors,13.0,Divorced,Exec-managerial,Not-in-family,White,Male,0.0,0.0,40.0,United-States,1.0
36.0,Private,105853.0,Doctorate,16.0,Divorced,Prof-specialty,Not-in-family,White,Male,0.0,0.0,45.0,Italy,1.0
46.0,Private,62465.0,Bachelors,13.0,Married-civ-spouse,Tech-support,Husband,White,Male,0.0,0.0,50.0,United-States,1.0
35.0,Private,282040.0,Some-college,10.0,Married-civ,Craft-repair,Husband,White,Male,0.0,0.0,40.0,United-States,1.0
46.0,Private,206767.0,Bachelors,13.0,Married-civ-spouse,Sales,Husband,White,Male,0.0,0.0,40.0,United-States,1.0
34.0,Private,161362.0,Bachelors,13.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,40.0,United-States,1.0
54.0,Private,172554.0,Masters,14.0,Married-civ-,Exec-managerial,Husband,White,Male,0.0,0.0,40.0,United-States,1.0
51.0,Private,168172.0,Bachelors,13.0,Married-civ-spouse,Prof,Husband,White,Male,0.0,0.0,40.0,United-States,1.0
43.0,Private,292413.0,Assoc-acdm,12.0,Never-married,Sales,Not-,White,Female,0.0,0.0,40.0,United-States,1.0
55.0,Private,162650.0,Bachelors,13.0,Married,Prof-specialty,Husband,White,Male,7688.0,1902.0,40.0,United-States,1.0
45.0,Private,207908.0,Prof-school,15.0,Married-,Prof-specialty,Husband,White,Male,0.0,0.0,55.0,United-States,1.0
48.0,Private,410069.0,Bachelors,13.0,Never-married,Sales,Not-in-family,White,Male,0.0,0.0,50.0,United-States,1.0
45.0,Private,169318.0,Bachelors,13.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,50.0,United-States,1.0
37.0,Private,60564.0,Masters,14.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,50.0,United-States,1.0
28.0,Private,329768.0,Bachel,13.0,Married-civ-spouse,Sales,Husband,White,Male,0.0,0.0,40.0,United-States,1.0
48.0,Private,232091.0,HS-grad,9.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,40.0,United-States,1.0
46.0,Private,171917.0,HS-grad,9.0,Married,Adm-clerical,Husband,White,Male,0.0,0.0,40.0,United-States,1.0
46.0,Private,82655.0,Some-college,10.0,Married-civ-spouse,Ad,Wife,White,Female,0.0,0.0,40.0,United-States,1.0
37.0,Private,204488.0,Assoc-voc,11.0,Married-,Exec-managerial,Husband,White,Male,0.0,0.0,50.0,United-States,1.0
43.0,Private,1885.0,Masters,14.0,Divorced,Prof-specialty,Not-in-family,White,Male,0.0,0.0,42.0,United-States,1.0
50.0,Private,122088.0,Bachel,13.0,Married-civ-spouse,Sales,Husband,White,Male,0.0,0.0,40.0,United-States,1.0
44.0,Private,355822.0,Some-college,10.0,Divorced,Sales,Not-in-family,White,Male,0.0,0.0,41.0,United-States,1.0
42.0,Private,14.0,Bachelors,13.0,Married-civ-spouse,Sales,Husband,White,Male,0.0,0.0,40.0,United-States,1.0
31.0,Self-emp-inc,71396.0,Bachelors,13.0,Married-civ-spouse,Adm-clerical,Husband,White,Male,0.0,0.0,40.0,United-States,1.0
45.0,Private,120981.0,Bachelors,13.0,Never-married,Sales,Not-in-family,White,Male,0.0,0.0,40.0,United-States,1.0
39.0,Private,1201.0,HS-grad,9.0,Married-civ-spouse,Sales,Husband,White,Male,0.0,0.0,40.0,United-States,1.0
41.0,Private,204475.0,B,13.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,50.0,Canada,1.0
53.0,Private,89520.0,Some-college,10.0,Married-civ-spouse,Sales,Wife,White,Female,0.0,0.0,40.0,United-States,1.0
40.0,Private,202930.0,HS-grad,9.0,Married-civ-spouse,Farming-fishing,Husband,White,Male,0.0,0.0,40.0,United-States,1.0
35.0,Private,115323.0,Bachelors,13.0,Divorced,Exec-managerial,Unmarried,White,Male,0.0,0.0,40.0,United-States,1.0
59.0,Private,237818.0,Masters,14.0,Married-civ-,Prof-specialty,Husband,White,Male,0.0,0.0,40.0,United-States,1.0
34.0,Private,24.0,Bachelors,13.0,Married-civ-spouse,Sales,Husband,White,Male,0.0,0.0,40.0,United-States,1.0
35.0,Private,195385.0,B,13.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,40.0,United-States,1.0
47.0,Private,181696.0,HS-grad,9.0,Married-c,Prof-specialty,Husband,White,Male,0.0,0.0,60.0,United-States,1.0
36.0,Private,131681.0,Some-college,10.0,Married-civ-spouse,Sales,Husband,White,Male,0.0,0.0,40.0,United-,1.0
54.0,Local-gov,212865.0,Masters,14.0,Married-,Prof-specialty,Husband,White,Male,0.0,0.0,45.0,United-States,1.0
40.0,Private,123934.0,HS-grad,9.0,Married-,Adm-clerical,Husband,White,Male,0.0,0.0,40.0,United-States,1.0
54.0,Private,209500.0,Bachelors,13.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,50.0,United-States,1.0
55.0,Private,175235.0,Masters,14.0,Married-civ-spouse,Exec-manager,Husband,White,Male,0.0,0.0,50.0,United-States,1.0
41.0,Private,175284.0,Bachelors,13.0,Divorced,Exec-managerial,Not-in-family,White,Male,0.0,0.0,40.0,United,1.0
35.0,Private,172056.0,Bachelors,13.0,Married-civ-spouse,Sales,Husband,White,Male,0.0,0.0,48.0,United-States,1.0
47.0,Private,44785.0,Some-college,10.0,Married-civ-spouse,Sales,Husband,White,Male,0.0,0.0,40.0,United-States,1.0
53.0,Private,232825.0,HS-grad,9.0,Married-c,Craft-repair,Husband,White,Male,0.0,0.0,40.0,United-States,1.0
58.0,Private,176470.0,Masters,14.0,Married-civ-spouse,Exec-,Husband,White,Male,0.0,0.0,40.0,United-States,1.0
39.0,Private,229468.0,Bachelors,13.0,Divorced,Sales,Not-in-family,White,Female,0.0,0.0,37.0,United-States,1.0
48.0,Private,2269.0,Masters,14.0,Married-civ-spouse,Protective-serv,Husband,White,Male,0.0,0.0,40.0,United-States,1.0
40.0,Private,132855.0,HS-grad,9.0,Married-civ,Craft-repair,Husband,White,Male,0.0,0.0,40.0,United-States,1.0
48.0,Private,131326.0,Bachelors,13.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,55.0,United-States,1.0
31.0,Private,231076.0,HS-grad,9.0,Married-civ-spouse,Sales,Hus,White,Male,0.0,0.0,40.0,United-States,1.0
35.0,Private,348734.0,HS-grad,9.0,Married-civ-spouse,Adm-clerical,Wife,White,Female,0.0,0.0,50.0,United-States,1.0
37.0,Private,155593.0,HS-grad,9.0,Married-civ-spouse,Sales,Hus,White,Male,0.0,0.0,40.0,United-States,1.0
47.0,Private,177482.0,HS-grad,9.0,Married-civ-spouse,Sales,Husband,White,Male,0.0,0.0,50.0,United-States,1.0
